,Open
2004-09-06,407.0
2004-09-13,404.1000061035156
2004-09-20,403.6000061035156
2004-09-27,409.1000061035156
2004-10-04,419.0
2004-10-11,422.20001220703125
2004-10-18,419.0
2004-10-25,429.0
2004-11-01,427.29998779296875
2004-11-08,432.70001220703125
2004-11-15,437.0
2004-11-22,446.8999938964844
2004-11-29,450.79998779296875
2004-12-06,454.3999938964844
2004-12-13,437.0
2004-12-20,442.5
2004-12-27,444.0
2005-01-03,431.0
2005-01-10,419.1000061035156
2005-01-17,419.1000061035156
2005-01-24,426.8999938964844
2005-01-31,426.0
2005-02-07,414.1000061035156
2005-02-14,420.0
2005-02-21,420.0
2005-02-28,435.5
2005-03-07,435.0
2005-03-14,441.1000061035156
2005-03-21,431.1000061035156
2005-03-28,425.8999938964844
2005-04-04,426.0
2005-04-11,426.0
2005-04-18,423.6000061035156
2005-04-25,432.70001220703125
2005-05-02,429.5
2005-05-09,426.20001220703125
2005-05-16,418.8999938964844
2005-05-23,416.6000061035156
2005-05-30,416.6000061035156
2005-06-06,423.6000061035156
2005-06-13,428.29998779296875
2005-06-20,440.0
2005-06-27,440.70001220703125
2005-07-04,440.70001220703125
2005-07-11,425.5
2005-07-18,420.3999938964844
2005-07-25,425.70001220703125
2005-08-01,430.0
2005-08-08,437.0
2005-08-15,441.3999938964844
2005-08-22,437.0
2005-08-29,438.5
2005-09-05,438.5
2005-09-12,449.70001220703125
2005-09-19,466.70001220703125
2005-09-26,463.8999938964844
2005-10-03,467.79998779296875
2005-10-10,474.79998779296875
2005-10-17,473.0
2005-10-24,465.5
2005-10-31,471.1000061035156
2005-11-07,459.0
2005-11-14,468.29998779296875
2005-11-21,485.6000061035156
2005-11-28,502.20001220703125
2005-12-05,504.5
2005-12-12,526.5
2005-12-19,509.5
2005-12-26,509.5
2006-01-02,509.5
2006-01-09,539.7000122070312
2006-01-16,539.7000122070312
2006-01-23,555.0
2006-01-30,559.2000122070312
2006-02-06,568.4000244140625
2006-02-13,548.5
2006-02-20,548.5
2006-02-27,556.0999755859375
2006-03-06,554.7999877929688
2006-03-13,541.0
2006-03-20,555.2000122070312
2006-03-27,567.0
2006-04-03,582.0
2006-04-10,589.0
2006-04-17,605.0
2006-04-24,634.0
2006-05-01,658.0
2006-05-08,679.0
2006-05-15,710.2999877929688
2006-05-22,656.5
2006-05-29,656.5
2006-06-05,635.5
2006-06-12,606.0
2006-06-19,568.7999877929688
2006-06-26,583.0
2006-07-03,583.0
2006-07-10,632.7999877929688
2006-07-17,675.0999755859375
2006-07-24,619.5999755859375
2006-07-31,634.5
2006-08-07,651.2000122070312
2006-08-14,629.9000244140625
2006-08-21,613.5999755859375
2006-08-28,621.7000122070312
2006-09-04,624.4000244140625
2006-09-11,590.0
2006-09-18,586.2000122070312
2006-09-25,589.9000244140625
2006-10-02,598.9000244140625
2006-10-09,578.0
2006-10-16,593.5
2006-10-23,579.7000122070312
2006-10-30,608.5
2006-11-06,625.7999877929688
2006-11-13,629.0
2006-11-20,621.5
2006-11-27,621.5
2006-12-04,647.0999755859375
2006-12-11,623.0
2006-12-18,614.0
2006-12-25,614.0
2007-01-01,614.0
2007-01-08,607.5
2007-01-15,607.5
2007-01-22,633.2999877929688
2007-01-29,643.0999755859375
2007-02-05,649.0
2007-02-12,664.2999877929688
2007-02-19,664.2999877929688
2007-02-26,684.5999755859375
2007-03-05,640.2000122070312
2007-03-12,648.0
2007-03-19,653.0999755859375
2007-03-26,663.4000244140625
2007-04-02,665.5
2007-04-09,671.0999755859375
2007-04-16,685.0999755859375
2007-04-23,689.0
2007-04-30,677.4000244140625
2007-05-07,688.0
2007-05-14,668.5
2007-05-21,660.7000122070312
2007-05-28,660.7000122070312
2007-06-04,671.2000122070312
2007-06-11,649.2000122070312
2007-06-18,657.9000244140625
2007-06-25,650.0
2007-07-02,656.7999877929688
2007-07-09,660.5
2007-07-16,667.0999755859375
2007-07-23,680.7999877929688
2007-07-30,659.9000244140625
2007-08-06,672.0999755859375
2007-08-13,669.9000244140625
2007-08-20,658.5999755859375
2007-08-27,667.9000244140625
2007-09-03,667.9000244140625
2007-09-10,704.5
2007-09-17,719.0999755859375
2007-09-24,732.0999755859375
2007-10-01,745.0999755859375
2007-10-08,735.2000122070312
2007-10-15,758.0
2007-10-22,766.7000122070312
2007-10-29,793.7999877929688
2007-11-05,804.5999755859375
2007-11-12,803.9000244140625
2007-11-19,777.5999755859375
2007-11-26,826.0
2007-12-03,783.9000244140625
2007-12-10,799.2999877929688
2007-12-17,793.5
2007-12-24,793.5
2007-12-31,843.2000122070312
2008-01-07,860.9000244140625
2008-01-14,907.2999877929688
2008-01-21,907.2999877929688
2008-01-28,916.5999755859375
2008-02-04,903.7000122070312
2008-02-11,920.7000122070312
2008-02-18,920.7000122070312
2008-02-25,946.5
2008-03-03,984.2000122070312
2008-03-10,975.5
2008-03-17,1005.0
2008-03-24,915.5
2008-03-31,931.0
2008-04-07,915.2999877929688
2008-04-14,917.0
2008-04-21,922.5
2008-04-28,887.0
2008-05-05,861.2000122070312
2008-05-12,879.2000122070312
2008-05-19,905.0
2008-05-26,905.0
2008-06-02,887.2999877929688
2008-06-09,900.7000122070312
2008-06-16,872.5
2008-06-23,903.4000244140625
2008-06-30,927.7000122070312
2008-07-07,931.4000244140625
2008-07-14,964.7000122070312
2008-07-21,964.5
2008-07-28,928.7999877929688
2008-08-04,912.7000122070312
2008-08-11,858.2999877929688
2008-08-18,792.0
2008-08-25,819.7999877929688
2008-09-01,819.7999877929688
2008-09-08,811.0
2008-09-15,778.0999755859375
2008-09-22,888.7999877929688
2008-09-29,871.2999877929688
2008-10-06,828.7999877929688
2008-10-13,861.0999755859375
2008-10-20,803.7999877929688
2008-10-27,742.7999877929688
2008-11-03,728.7999877929688
2008-11-10,749.0
2008-11-17,741.9000244140625
2008-11-24,819.9000244140625
2008-12-01,817.2000122070312
2008-12-08,755.0
2008-12-15,828.0
2008-12-22,848.5
2008-12-29,882.9000244140625
2009-01-05,882.0
2009-01-12,844.4000244140625
2009-01-19,844.4000244140625
2009-01-26,907.2999877929688
2009-02-02,924.2999877929688
2009-02-09,910.0
2009-02-16,910.0
2009-02-23,995.5999755859375
2009-03-02,945.0
2009-03-09,940.5
2009-03-16,926.4000244140625
2009-03-23,950.7000122070312
2009-03-30,924.5999755859375
2009-04-06,895.0
2009-04-13,882.5
2009-04-20,868.7999877929688
2009-04-27,918.0
2009-05-04,885.7999877929688
2009-05-11,913.0999755859375
2009-05-18,929.5999755859375
2009-05-25,929.5999755859375
2009-06-01,978.7999877929688
2009-06-08,958.0
2009-06-15,938.5
2009-06-22,925.0
2009-06-29,940.2000122070312
2009-07-06,933.5
2009-07-13,911.5
2009-07-20,954.0999755859375
2009-07-27,955.0999755859375
2009-08-03,952.5999755859375
2009-08-10,955.0
2009-08-17,947.4000244140625
2009-08-24,953.5
2009-08-31,959.5
2009-09-07,959.5
2009-09-14,1002.9000244140625
2009-09-21,1003.7000122070312
2009-09-28,993.2000122070312
2009-10-05,1004.0999755859375
2009-10-12,1049.0
2009-10-19,1053.5999755859375
2009-10-26,1055.5999755859375
2009-11-02,1053.4000244140625
2009-11-09,1098.5999755859375
2009-11-16,1138.5999755859375
2009-11-23,1164.300048828125
2009-11-30,1179.9000244140625
2009-12-07,1157.5999755859375
2009-12-14,1123.300048828125
2009-12-21,1095.4000244140625
2009-12-28,1107.199951171875
2010-01-04,1117.699951171875
2010-01-11,1150.699951171875
2010-01-18,1150.699951171875
2010-01-25,1095.199951171875
2010-02-01,1081.0
2010-02-08,1065.699951171875
2010-02-15,1065.699951171875
2010-02-22,1112.5999755859375
2010-03-01,1119.300048828125
2010-03-08,1123.5999755859375
2010-03-15,1105.0999755859375
2010-03-22,1099.300048828125
2010-03-29,1110.300048828125
2010-04-05,1122.300048828125
2010-04-12,1161.5999755859375
2010-04-19,1135.199951171875
2010-04-26,1160.0999755859375
2010-05-03,1178.5999755859375
2010-05-10,1200.4000244140625
2010-05-17,1233.300048828125
2010-05-24,1193.800048828125
2010-05-31,1193.800048828125
2010-06-07,1239.300048828125
2010-06-14,1223.199951171875
2010-06-21,1257.4000244140625
2010-06-28,1238.199951171875
2010-07-05,1238.199951171875
2010-07-12,1198.5
2010-07-19,1181.699951171875
2010-07-26,1183.0
2010-08-02,1183.4000244140625
2010-08-09,1205.800048828125
2010-08-16,1224.5
2010-08-23,1226.9000244140625
2010-08-30,1237.0999755859375
2010-09-06,1237.0999755859375
2010-09-13,1245.0999755859375
2010-09-20,1279.0
2010-09-27,1296.699951171875
2010-10-04,1318.300048828125
2010-10-11,1346.699951171875
2010-10-18,1358.0
2010-10-25,1333.5999755859375
2010-11-01,1360.300048828125
2010-11-08,1390.5
2010-11-15,1363.699951171875
2010-11-22,1357.699951171875
2010-11-29,1364.0
2010-12-06,1414.0
2010-12-13,1384.5
2010-12-20,1383.199951171875
2010-12-27,1373.5
2011-01-03,1415.5999755859375
2011-01-10,1369.0
2011-01-17,1369.0
2011-01-24,1352.300048828125
2011-01-31,1339.0
2011-02-07,1345.800048828125
2011-02-14,1357.800048828125
2011-02-21,1357.800048828125
2011-02-28,1410.699951171875
2011-03-07,1434.5
2011-03-14,1420.0
2011-03-21,1433.5
2011-03-28,1413.199951171875
2011-04-04,1429.0999755859375
2011-04-11,1476.0
2011-04-18,1486.300048828125
2011-04-25,1513.300048828125
2011-05-02,1572.9000244140625
2011-05-09,1501.5
2011-05-16,1489.300048828125
2011-05-23,1510.5
2011-05-30,1510.5
2011-06-06,1542.9000244140625
2011-06-13,1528.0999755859375
2011-06-20,1536.0
2011-06-27,1503.5
2011-07-04,1503.5
2011-07-11,1550.0
2011-07-18,1592.800048828125
2011-07-25,1610.0
2011-08-01,1623.0
2011-08-08,1679.0999755859375
2011-08-15,1734.9000244140625
2011-08-22,1868.5999755859375
2011-08-29,1817.9000244140625
2011-09-05,1817.9000244140625
2011-09-12,1852.4000244140625
2011-09-19,1814.699951171875
2011-09-26,1646.4000244140625
2011-10-03,1627.800048828125
2011-10-10,1645.5999755859375
2011-10-17,1683.5999755859375
2011-10-24,1646.199951171875
2011-10-31,1741.9000244140625
2011-11-07,1755.300048828125
2011-11-14,1779.0
2011-11-21,1704.5999755859375
2011-11-28,1710.800048828125
2011-12-05,1748.9000244140625
2011-12-12,1707.5
2011-12-19,1596.4000244140625
2011-12-26,1596.4000244140625
2012-01-02,1596.4000244140625
2012-01-09,1614.300048828125
2012-01-16,1614.300048828125
2012-01-23,1676.9000244140625
2012-01-30,1737.199951171875
2012-02-06,1728.0
2012-02-13,1725.0
2012-02-20,1725.0
2012-02-27,1773.5999755859375
2012-03-05,1705.5
2012-03-12,1708.0999755859375
2012-03-19,1661.199951171875
2012-03-26,1665.0
2012-04-02,1670.4000244140625
2012-04-09,1645.300048828125
2012-04-16,1650.800048828125
2012-04-23,1642.4000244140625
2012-04-30,1663.0
2012-05-07,1637.9000244140625
2012-05-14,1563.0
2012-05-21,1591.9000244140625
2012-05-28,1591.9000244140625
2012-06-04,1623.0
2012-06-11,1608.0
2012-06-18,1622.5999755859375
2012-06-25,1574.9000244140625
2012-07-02,1597.0999755859375
2012-07-09,1582.0999755859375
2012-07-16,1586.199951171875
2012-07-23,1571.699951171875
2012-07-30,1622.9000244140625
2012-08-06,1604.699951171875
2012-08-13,1622.0
2012-08-20,1614.0
2012-08-27,1674.9000244140625
